precision,recall,time_taken
9.384328126907348633e-01,9.997605085372924805e-01,5.951786041259765625e-02
8.632097840309143066e-01,9.982525706291198730e-01,6.252241134643554688e-02
9.336678385734558105e-01,9.994734525680541992e-01,5.841255187988281250e-02
9.765092134475708008e-01,9.020426869392395020e-01,5.500292778015136719e-02
9.093064069747924805e-01,1.000000000000000000e+00,5.451560020446777344e-02
9.807317852973937988e-01,9.987434148788452148e-01,6.206369400024414062e-02
7.227010726928710938e-01,9.967746734619140625e-01,5.544328689575195312e-02
8.718366026878356934e-01,1.000000000000000000e+00,5.515241622924804688e-02
9.450676441192626953e-01,9.732268452644348145e-01,5.415916442871093750e-02
9.719531536102294922e-01,8.118345737457275391e-01,5.918669700622558594e-02
8.323098421096801758e-01,9.992627501487731934e-01,5.703997611999511719e-02
9.071317911148071289e-01,9.572880268096923828e-01,6.101131439208984375e-02
9.774246811866760254e-01,9.745943546295166016e-01,5.900096893310546875e-02
8.697980046272277832e-01,1.000000000000000000e+00,6.046032905578613281e-02
7.863391041755676270e-01,1.000000000000000000e+00,5.852484703063964844e-02
8.348785042762756348e-01,1.000000000000000000e+00,6.010007858276367188e-02
8.793166875839233398e-01,9.995343685150146484e-01,6.700444221496582031e-02
8.368874788284301758e-01,9.998983740806579590e-01,5.599856376647949219e-02
9.599202871322631836e-01,9.997268319129943848e-01,5.551528930664062500e-02
8.801741003990173340e-01,9.825110435485839844e-01,5.351972579956054688e-02
8.964930772781372070e-01,9.987888932228088379e-01,5.500292778015136719e-02
8.357633948326110840e-01,9.991837143898010254e-01,5.311179161071777344e-02
9.537416696548461914e-01,9.982623457908630371e-01,5.876660346984863281e-02
8.113282918930053711e-01,9.996708035469055176e-01,5.753540992736816406e-02
9.768454432487487793e-01,9.807682037353515625e-01,6.400442123413085938e-02
8.546567559242248535e-01,9.998635649681091309e-01,5.899548530578613281e-02
9.656124114990234375e-01,9.974868297576904297e-01,8.109068870544433594e-02
9.401077032089233398e-01,9.999068975448608398e-01,6.153297424316406250e-02
9.766470789909362793e-01,9.934378266334533691e-01,5.652356147766113281e-02
9.713368415832519531e-01,9.997844696044921875e-01,5.700182914733886719e-02
