image_path,precision,recall
OriginalImages\10066\20130112_112740.jpg,0.9947249434815372,0.9511020862673172
OriginalImages\10066\20130112_134634.jpg,0.99951269035533,0.9673337045164248
OriginalImages\10066\20130112_145729.jpg,0.9989754235585616,0.9771525890020634
OriginalImages\10066\20130113_062730.jpg,0.9223978823643694,0.9951855369600104
OriginalImages\10066\20130113_124634.jpg,0.8878955359854236,0.9575999737988408
OriginalImages\10066\20130113_132732.jpg,0.8898138736022995,0.9976942979726852
OriginalImages\10066\20130113_134629.jpg,0.6798091769977062,0.9978253037696918
OriginalImages\10066\20130113_154632.jpg,0.7005507549140633,0.9664952674155832
OriginalImages\10066\20130114_074630.jpg,0.7014052331231548,0.9975239904365768
OriginalImages\10066\20130114_094639.jpg,0.6065541100695109,0.9968362100022926
OriginalImages\10066\20130114_095726.jpg,0.6484540737648352,0.9970982215963056
OriginalImages\10066\20130114_132728.jpg,0.7104460203415135,0.9974584875380736
OriginalImages\10066\20130114_161636.jpg,0.8914786762037438,0.9976222447843316
OriginalImages\10066\20130115_064632.jpg,0.6028915166606624,0.997550191595978
OriginalImages\10066\20130115_074629.jpg,0.5213256839280335,0.9975960436249304
OriginalImages\10066\20130115_114637.jpg,0.6787736143428994,0.997425736088822
OriginalImages\10066\20130115_115725.jpg,0.673787043509809,0.9975305407264272
OriginalImages\10066\20130115_125723.jpg,0.6512810642029171,0.997366783480169
OriginalImages\10066\20130116_075727.jpg,0.7083920671030411,0.9974191857989716
OriginalImages\10066\20130116_084630.jpg,0.6825708471172552,0.997425736088822
OriginalImages\10066\20130116_094634.jpg,0.7181840476909146,0.9974650378279238
OriginalImages\10066\20130116_095723.jpg,0.7261943373907734,0.9972881800019652
OriginalImages\10066\20130116_122722.jpg,0.7101432376083844,0.997307830871516
OriginalImages\10066\20130117_082724.jpg,0.8223345583260718,0.9952313889889628
OriginalImages\10066\20130117_084633.jpg,0.703662961336692,0.9972226771034618
OriginalImages\10066\20130117_085726.jpg,0.6778500942901808,0.9912422624701144
OriginalImages\10066\20130117_104635.jpg,0.8888577500642239,0.9972161268136116
OriginalImages\10066\20130117_144636.jpg,0.9996331753349972,0.9103592833982904
OriginalImages\10066\20130118_074634.jpg,0.9187358158647456,0.89628271050994
OriginalImages\10066\20130118_084630.jpg,0.8890924229808493,0.9442439327940262
OriginalImages\10066\20130118_085726.jpg,0.9592597441073728,0.9119706547014704
OriginalImages\10066\20130118_135726.jpg,0.9988900033433634,0.9785084990010808
OriginalImages\10066\20130118_155725.jpg,0.9988366106590534,0.9785412504503324
OriginalImages\10066\20130119_062731.jpg,0.9997914607019278,0.8479022696754331
OriginalImages\10066\20130119_071637.jpg,1.0,0.2714833131366063
OriginalImages\10066\20130119_081632.jpg,0.999300454704442,0.2058559591261913
OriginalImages\10066\20130119_084636.jpg,0.9996940572486046,0.877548881538008
OriginalImages\10066\20130119_102732.jpg,0.9959206605110168,0.8011856024629089
OriginalImages\10066\20130120_062727.jpg,0.9030971815708304,0.9761896963940654
OriginalImages\10066\20130120_074633.jpg,0.8909152609807329,0.997406085219271
OriginalImages\10066\20130120_094628.jpg,0.6515942425850177,0.9975305407264272
OriginalImages\10066\20130120_145730.jpg,0.7148912002703566,0.997668096813284
OriginalImages\10066\20130120_154635.jpg,0.8906188745926147,0.9970392689876528
OriginalImages\10066\20130121_062725.jpg,0.8057819179958586,0.9864409000098254
OriginalImages\10066\20130121_104633.jpg,0.7218253179650238,0.9516850620639964
OriginalImages\10066\20130121_112729.jpg,0.5266121450100932,0.9979432089869976
OriginalImages\10066\20130121_151637.jpg,0.5246089055553834,0.9979235581174468
OriginalImages\10066\20130121_154628.jpg,0.5395611089860739,0.9978973569580454
OriginalImages\10066\20130122_081639.jpg,0.8936459793850721,0.9978056529001408
OriginalImages\10066\20130122_121632.jpg,0.7558921993438805,0.8844332361707006
OriginalImages\10066\20130122_124640.jpg,0.9484625378951927,0.961124029738316
