,precision,recall,f1,filename,time_taken,spatial_radius,range_radius,min_density
7748,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.012804746627807617,0,12,150
7749,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.010009527206420898,0,12,250
7750,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.010579586029052734,0,12,350
7751,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.010076761245727539,0,12,450
7752,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.010388612747192383,0,14,150
7753,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.009109258651733398,0,14,250
7754,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.009019851684570312,0,14,350
7755,0.9975796692214602,0.859106699751861,0.9231794789750154,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.009579658508300781,0,14,450
7756,0.9924967130616131,0.8691414392059553,0.9267322122151784,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.03328204154968262,1,2,150
7757,0.9924967130616131,0.8691414392059553,0.9267322122151784,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.03287506103515625,1,2,250
7758,0.991085872390749,0.8817270471464019,0.9332135747414423,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.031231403350830078,1,2,350
7759,0.991085872390749,0.8817270471464019,0.9332135747414423,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.03829073905944824,1,2,450
7760,0.9923360804202137,0.8700645161290322,0.927186571189829,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.028929471969604492,1,4,150
7761,0.992341063082806,0.8809230769230769,0.9333186110585316,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.026695966720581055,1,4,250
7762,0.992341063082806,0.8809230769230769,0.9333186110585316,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.028086423873901367,1,4,350
7763,0.992341063082806,0.8809230769230769,0.9333186110585316,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.026073694229125977,1,4,450
7764,0.9924968831463221,0.8691612903225806,0.9267435707482273,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.025066137313842773,1,6,150
7765,0.992466727111947,0.8800397022332507,0.9328781031843315,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.024709701538085938,1,6,250
7766,0.992466727111947,0.8800397022332507,0.9328781031843315,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.02532362937927246,1,6,350
7767,0.992466727111947,0.8800397022332507,0.9328781031843315,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\9730\20131229_075707.jpg,0.02612781524658203,1,6,450
